      X1  X2  X3  X4  X5  X6  X7  X8  X9  X10  X11  X12  L1
   1   0   0   0   0   0   0   0   0   0    0    0    0  -1
   2   0   0   0   0   0   0   0   0   0    0    0    0  -1
   3   0   0   0   0   0   0   0   0   0    0    0    0  -1
   4   0   0   0   0   0   0   0   0   0    0    0    0  -1
   5   0   0   0   0   0   0   0   0   0    0    0    0  -1
   6   0   0   0   0   0   0   0   0   0    0    0    0  -1
   7   0   0   0   0   0   0   0   0   0    0    0    0  -1
   8   0   0   0   0   0   0   0   0   0    0    0    0  -1
   9   0   0   0   0   0   0   0   0   0    0    0    0   1
  10   0   0   0   0   0   0   0   0   0    0    0    0   1
  11   0   0   0   0   0   0   0   0   0    0    0    0   1
  12   0   0   0   0   0   0   0   0   0    0    0    0   1
  13   1   1   1   1   1   1   1   1  -1   -1   -1   -1   0

